"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-06-30,"Lockwood Tevis","CA","San Francisco","Alameda","Oakland",5262,2193,0.018578727357176,0.0477783086478739,0.234102419808666,528
2016-06-30,"Sumner","OR","Portland","Multnomah","Portland",5263,1534,0.00987491770901909,0.0295302013422819,0.12298682284041,798
2016-06-30,"Waunona","WI","Madison","Dane","Madison",5264,1378,0.00218181818181818,0.000726216412490922,-0.0343377715487036,483
2016-06-30,"Meadows of Candleridge","TX","Dallas-Fort Worth","Tarrant","Fort Worth",5265,1368,0.00366837857666911,0.0110864745011086,0.0224215246636771,677
2016-06-30,"Walbrook","MD","Baltimore","Baltimore City","Baltimore",5266,1277,-0.00467653936087295,-0.000782472613458529,0.0199680511182109,1044
2016-06-30,"Greenfield Lakes","AZ","Phoenix","Maricopa","Gilbert",5267,1434,0.00420168067226891,0.0119971771347918,0.0661710037174721,804
2016-06-30,"Sunset Road","NC","Charlotte","Mecklenburg","Charlotte",5268,1187,0.00593220338983051,0.0197594501718213,0.0541740674955595,1700
2016-06-30,"Highland Oaks","FL","Tampa","Pinellas","Saint Petersburg",5269,1101,0,0.0110192837465565,0.0556088207094918,813
2016-06-30,"Clayton Crest","WI","Milwaukee","Milwaukee","Milwaukee",5270,1335,0.0090702947845805,0.0167555217060168,0.00754716981132076,544
2016-06-30,"Brittany Hills","OH","Columbus","Franklin","Columbus",5271,828,-0.0036101083032491,0.00852618757612668,0.0197044334975369,1062
2016-06-30,"Michigan Oaks","MI","Grand Rapids","Kent","Grand Rapids",5272,1572,0.0201168072680078,0.0550335570469799,0.111739745403112,861
2016-06-30,"Brownsboro Zorn","KY","Louisville/Jefferson County","Jefferson","Louisville",5273,1033,0.00780487804878049,0.015732546705998,-0.0199240986717268,1695
2016-06-30,"Mount Mary","WI","Milwaukee","Milwaukee","Milwaukee",5274,1356,-0.00367376928728876,0.00593471810089021,0.036697247706422,760
2016-06-30,"Beltzhoover","PA","Pittsburgh","Allegheny","Pittsburgh",5275,917,0.0143805309734513,0.0576701268742791,0.0826446280991736,1128
2016-06-30,"Sierra Oaks","CA","Sacramento","Sacramento","Sacramento",5276,1843,0.00820568927789934,0.0115257958287596,0.0216186252771619,638
2016-06-30,"West Main Hill","MI","Kalamazoo","Kalamazoo","Kalamazoo",5277,1611,0.0157629255989912,0.0683023872679045,0.0974114441416894,290
2016-06-30,"Arapaho","TX","Dallas-Fort Worth","Dallas","Richardson",5278,1753,0.00921128382268279,0.0239485981308411,0.0497005988023952,1087
2016-06-30,"Hanlon-Longwood","MD","Baltimore","Baltimore City","Baltimore",5279,1307,-0.00984848484848485,-0.0150715900527506,0.0171206225680934,894
2016-06-30,"Hammond Park","GA","Atlanta","Fulton","Atlanta",5280,853,-0.0069848661233993,-0.0104408352668213,0.0154761904761905,463
2016-06-30,"San Trope","CA","Bakersfield","Kern","Bakersfield",5281,2098,0.00191021967526266,0.000954198473282443,0.0120598166907863,428
2016-06-30,"Mingo Valley","OK","Tulsa","Tulsa","Tulsa",5282,1016,0.016,0.0399181166837257,-0.00196463654223969,537
2016-06-30,"Park Village","AZ","Phoenix","Maricopa","Gilbert",5283,1353,0.00594795539033457,0.00744601638123604,0.0288973384030418,673
2016-06-30,"Eucalyptus Hill","CA","Santa Maria-Santa Barbara","Santa Barbara","Santa Barbara",5284,6040,0.00986457114194951,0.00582847626977519,-0.029718875502008,713
2016-06-30,"San Roque","CA","Santa Maria-Santa Barbara","Santa Barbara","Santa Barbara",5285,4141,-0.00312951372171401,-0.00766834411694225,0.0329259166874532,720
2016-06-30,"McPherson Ranch","TX","Dallas-Fort Worth","Tarrant","Fort Worth",5286,1529,-0.00065359477124183,-0.00065359477124183,0.0345060893098782,1169
2016-06-30,"Garden District","LA","New Orleans","Orleans","New Orleans",5287,2775,-0.0256320224719101,-0.0799071618037135,-0.152930402930403,1248
2016-06-30,"Forestland","CA","San Francisco","Alameda","Oakland",5288,4201,0.0179307002665374,0.0489388264669164,0.111081724411531,711
2016-06-30,"Spring Park","TX","Dallas-Fort Worth","Dallas","Garland",5289,2268,-0.00830782684739834,-0.0121951219512195,0.0156739811912226,807
2016-06-30,"Colonial Place","VA","Richmond","Richmond City","Richmond",5290,1584,0,-0.0050251256281407,0.0265716137394686,1193
2016-06-30,"Northwest Bellevue","WA","Seattle","King","Bellevue",5291,3273,0.00552995391705069,0.0042957962565204,0.021216848673947,2428
2016-06-30,"Helena Valley Northeast","MT","Helena","Lewis and Clark","Helena",5292,1353,-0.0014760147601476,-0.00368188512518409,-0.0424628450106157,463
2016-06-30,"Southwest","FL","Miami-Fort Lauderdale","Palm Beach","West Palm Beach",5293,1442,0.000693962526023595,0.00909727081875437,0.0292648108493933,926
2016-06-30,"Fuller Avenue","MI","Grand Rapids","Kent","Grand Rapids",5294,1088,0.0215962441314554,0.0501930501930502,0.0625,685
2016-06-30,"Schenk-Atwood-Starkweather-Yahar","WI","Madison","Dane","Madison",5295,1279,0,-0.00929512006196747,-0.0288534548215642,679
2016-06-30,"Lenox Heights","WI","Milwaukee","Milwaukee","Milwaukee",5296,1048,0.00383141762452107,0.0184645286686103,0.0532663316582914,537
2016-06-30,"Harrisburg","GA","Augusta","Richmond","Augusta",5297,685,0.00587371512481645,0.0103244837758112,-0.0072463768115942,1225
2016-06-30,"Lake Las Vegas","NV","Las Vegas","Clark","Henderson",5298,1621,-0.00916870415647922,-0.0133901399878271,0.0458064516129032,2135
2016-06-30,"Ansley Park","GA","Atlanta","Fulton","Atlanta",5299,2732,0.0137291280148423,-0.00690657942566339,-0.00978615440376948,1355
2016-06-30,"Buckhorn","AZ","Phoenix","Maricopa","Mesa",5300,1233,0.00407166123778502,0.0249376558603491,0.0806310254163015,1021
2016-06-30,"Colonial Park","SC","Columbia","Richland","Columbia",5301,784,0.00255754475703325,0.00255754475703325,-0.00127388535031847,463
2016-06-30,"Biltmore","FL","Jacksonville","Duval","Jacksonville",5302,977,-0.00306122448979592,-0.0121334681496461,-0.0317145688800793,790
2016-06-30,"Lakeside","TX","El Paso","El Paso","El Paso",5303,859,0.00467836257309942,0.0141676505312869,0.0117785630153121,462
2016-06-30,"Holly Oaks","FL","Jacksonville","Duval","Jacksonville",5304,1260,0.00478468899521531,0.0128617363344051,0.00558659217877095,1011
2016-06-30,"Fort Wadsworth","NY","New York","Richmond","New York",5305,2077,0.00289715113471753,-0.0184310018903592,-0.025797373358349,148
2016-06-30,"Melrose","NY","Albany","Albany","Albany",5306,1545,-0.0051513200257566,-0.0115163147792706,0.03,803
2016-06-30,"Larkspur","AL","Mobile","Mobile","Mobile",5307,905,-0.00658616904500549,-0.0268817204301075,-0.00767543859649123,407
2016-06-30,"Barton Creek","TX","Austin","Travis","Austin",5308,5805,0.00103466114847387,0.0078125,0.048023108864416,1011
2016-06-30,"Paradise Park","CA","San Francisco","Alameda","Oakland",5309,3097,0.00715447154471545,0.0120915032679739,0.103706343549537,625
2016-06-30,"Churchill Estates","TX","San Antonio","Bexar","San Antonio",5310,1948,0.00154241645244216,0.0140551795939615,0.0317796610169492,900
2016-06-30,"Park Plaza East","OK","Tulsa","Tulsa","Tulsa",5311,1197,-0.00333055786844296,0.00419463087248322,0.0381613183000867,424
2016-06-30,"Oak Creek","TX","San Antonio","Bexar","San Antonio",5312,1345,0,-0.000742942050520059,-0.000742942050520059,674
2016-06-30,"Westshore","CA","San Francisco","San Mateo","San Mateo",5313,3534,0.00483366505544498,0.00540540540540541,0.0199134199134199,523
2016-06-30,"Dawes","AL","Mobile","Mobile","Mobile",5314,1385,0.000722543352601156,0.0343539955190441,0.0405709992486852,575
2016-06-30,"Chinquapin Park-Belvedere","MD","Baltimore","Baltimore City","Baltimore",5315,1374,0,0.00365230094959825,-0.00506879073135409,814
2016-06-30,"Shepherd Canyon","CA","San Francisco","Alameda","Oakland",5316,4083,0.0103934669636229,0.028463476070529,0.114964500273075,708
2016-06-30,"Leinkauf","AL","Mobile","Mobile","Mobile",5317,838,-0.00238095238095238,-0.00593119810201661,0.0371287128712871,649
2016-06-30,"York","WA","Bellingham","Whatcom","Bellingham",5318,1435,-0.00485436893203883,-0.0224795640326975,0.0294117647058823,752
2016-06-30,"North Colony","MS","Jackson","Hinds","Jackson",5319,1011,-0.00492125984251968,0.00797607178464606,0.0847639484978541,216
2016-06-30,"Manchester","PA","Pittsburgh","Allegheny","Pittsburgh",5320,1103,0.00272727272727273,0.0184672206832872,0.0395852968897267,922
